Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2021-01-01;null;null;null;
2021-01-02;null;null;null;
2021-01-03;null;null;null;
2021-01-04;null;null;null;
2021-01-05;null;null;null;
2021-01-06;null;null;null;
2021-01-07;null;null;null;
2021-01-08;null;null;null;
2021-01-09;null;null;null;
2021-01-10;null;null;null;
2021-01-11;null;null;null;
2021-01-12;null;null;null;
2021-01-13;null;null;null;
2021-01-14;null;null;null;
2021-01-15;null;null;null;
2021-01-16;null;null;null;
2021-01-17;null;null;null;
2021-01-18;null;null;null;
2021-01-19;null;null;null;
2021-01-20;null;null;null;
2021-01-21;null;null;null;
2021-01-22;null;null;null;
2021-01-23;null;null;null;
2021-01-24;null;null;null;
2021-01-25;null;null;null;
2021-01-26;null;null;null;
2021-01-27;null;null;null;
2021-01-28;null;null;null;
2021-01-29;null;null;null;
2021-01-30;null;null;null;
2021-01-31;null;null;null;
2021-02-01;null;null;null;
2021-02-02;null;null;null;
2021-02-03;null;null;null;
2021-02-04;null;null;null;
2021-02-05;null;null;null;
2021-02-06;null;null;null;
2021-02-07;null;null;null;
2021-02-08;null;null;null;
2021-02-09;null;null;null;
2021-02-10;null;null;null;
2021-02-11;null;null;null;
2021-02-12;null;null;null;
2021-02-13;null;null;null;
2021-02-14;null;null;null;
2021-02-15;null;null;null;
2021-02-16;null;null;null;
2021-02-17;null;null;null;
2021-02-18;null;null;null;
2021-02-19;null;null;null;
2021-02-20;null;null;null;
2021-02-21;null;null;null;
2021-02-22;null;null;null;
2021-02-23;null;null;null;
2021-02-24;null;null;null;
2021-02-25;null;null;null;
2021-02-26;null;null;null;
2021-02-27;null;null;null;
2021-02-28;null;null;null;
2021-03-01;null;null;null;
2021-03-02;null;null;null;
2021-03-03;null;null;null;
2021-03-04;null;null;null;
2021-03-05;null;null;null;
2021-03-06;null;null;null;
2021-03-07;null;null;null;
2021-03-08;null;null;null;
2021-03-09;null;null;null;
2021-03-10;null;null;null;
2021-03-11;null;null;null;
2021-03-12;null;null;null;
2021-03-13;null;null;null;
2021-03-14;null;null;null;
2021-03-15;null;null;null;
2021-03-16;null;null;null;
2021-03-17;null;null;null;
2021-03-18;null;null;null;
2021-03-19;null;null;null;
2021-03-20;null;null;null;
2021-03-21;null;null;null;
2021-03-22;null;null;null;
2021-03-23;null;null;null;
2021-03-24;null;null;null;
2021-03-25;null;null;null;
2021-03-26;null;null;null;
2021-03-27;null;null;null;
2021-03-28;null;null;null;
2021-03-29;null;null;null;
2021-03-30;null;null;null;
2021-03-31;null;null;null;
2021-04-01;null;null;null;
2021-04-02;null;null;null;
2021-04-03;null;null;null;
2021-04-04;null;null;null;
2021-04-05;null;null;null;
2021-04-06;null;null;null;
2021-04-07;null;null;null;
2021-04-08;null;null;null;
2021-04-09;null;null;null;
2021-04-10;null;null;null;
2021-04-11;null;null;null;
2021-04-12;null;null;null;
2021-04-13;null;null;null;
2021-04-14;null;null;null;
2021-04-15;null;null;null;
2021-04-16;null;null;null;
2021-04-17;null;null;null;
2021-04-18;null;null;null;
2021-04-19;null;null;null;
2021-04-20;null;null;null;
2021-04-21;null;null;null;
2021-04-22;null;null;null;
2021-04-23;null;null;null;
2021-04-24;null;null;null;
2021-04-25;null;null;null;
2021-04-26;null;null;null;
2021-04-27;null;null;null;
2021-04-28;null;null;null;
2021-04-29;null;null;null;
2021-04-30;null;null;null;
2021-05-01;null;null;null;
2021-05-02;null;null;null;
2021-05-03;null;null;null;
2021-05-04;null;null;null;
2021-05-05;null;null;null;
2021-05-06;null;null;null;
2021-05-07;null;null;null;
2021-05-08;null;null;null;
2021-05-09;null;null;null;
2021-05-10;null;null;null;
2021-05-11;null;null;null;
2021-05-12;null;null;null;
2021-05-13;null;null;null;
2021-05-14;null;null;null;
2021-05-15;null;null;null;
2021-05-16;null;null;null;
2021-05-17;null;null;null;
2021-05-18;null;null;null;
2021-05-19;null;null;null;
2021-05-20;null;null;null;
2021-05-21;null;null;null;
2021-05-22;null;null;null;
2021-05-23;null;null;null;
2021-05-24;null;null;null;
2021-05-25;null;null;null;
2021-05-26;null;null;null;
2021-05-27;null;null;null;
2021-05-28;null;null;null;
2021-05-29;null;null;null;
2021-05-30;null;null;null;
2021-05-31;null;null;null;
2021-06-01;null;null;null;
2021-06-02;null;null;null;
2021-06-03;null;null;null;
2021-06-04;null;null;null;
2021-06-05;null;null;null;
2021-06-06;null;null;null;
2021-06-07;null;null;null;
2021-06-08;null;null;null;
2021-06-09;null;null;null;
2021-06-10;null;null;null;
2021-06-11;,4;30,8;15,8;
2021-06-12;0;31,5;19,7;
2021-06-13;0;32,1;19,1;
2021-06-14;0;29,7;19,9;
2021-06-15;1,2;27,7;17,9;
2021-06-16;0;30,4;16,2;
2021-06-17;0;30,5;15,4;
2021-06-18;0;30,3;15,4;
2021-06-19;0;30,8;17,8;
2021-06-20;0;31,4;17,7;
2021-06-21;0;31,3;17,7;
2021-06-22;0;31,3;16,7;
2021-06-23;0;31,3;15,9;
2021-06-24;0;32,3;17,4;
2021-06-25;0;31,6;16,5;
2021-06-26;0;29,1;16,3;
2021-06-27;0;28,4;14,6;
2021-06-28;0;28,9;14;
2021-06-29;0;27,5;14,6;
2021-06-30;0;26,7;11,2;
2021-07-01;0;29,3;13,8;
2021-07-02;0;30,1;17,2;
2021-07-03;0;29,5;17,3;
2021-07-04;0;27,5;15,1;
2021-07-05;0;28,6;14,6;
2021-07-06;0;29,8;15,4;
2021-07-07;0;30,5;14,5;
2021-07-08;0;30,1;12,7;
2021-07-09;0;29,9;13,6;
2021-07-10;0;29,1;15,2;
2021-07-11;0;28,9;14,2;
2021-07-12;0;30,2;14,4;
2021-07-13;0;29,8;17,1;
2021-07-14;0;29,3;15,7;
2021-07-15;0;31,6;14,7;
2021-07-16;0;32,1;14,9;
2021-07-17;0;32,8;15,4;
2021-07-18;0;33,4;17,2;
2021-07-19;0;31,7;16,5;
2021-07-20;0;31,5;16,6;
2021-07-21;0;31,9;14,4;
2021-07-22;0;31,5;19,4;
2021-07-23;0;29;14,3;
2021-07-24;0;29,2;16,3;
2021-07-25;0;29,5;14,6;
2021-07-26;0;31;16,6;
2021-07-27;0;31,7;15,6;
2021-07-28;0;32,7;14,8;
2021-07-29;0;28,7;12,8;
2021-07-30;0;30,9;14,6;
2021-07-31;0;32,5;16,1;
2021-08-01;0;31,4;19,2;
