Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2021-01-01;null;null;25,6;
2021-01-02;null;null;null;
2021-01-03;null;null;null;
2021-01-04;null;null;null;
2021-01-05;null;32,6;23,6;
2021-01-06;7,8;32;22,9;
2021-01-07;8,8;29,7;23,6;
2021-01-08;2;32,5;24,5;
2021-01-09;51;30,9;21,9;
2021-01-10;5,8;26,7;23,4;
2021-01-11;20,2;31,3;21,6;
2021-01-12;0;30,9;23,8;
2021-01-13;0;32,4;24,8;
2021-01-14;13;30,7;24,9;
2021-01-15;11,8;28,8;23,9;
2021-01-16;4,6;32,7;22,9;
2021-01-17;1,8;33,7;23,5;
2021-01-18;null;31,1;23,4;
2021-01-19;37,8;30,4;23,8;
2021-01-20;41;27,6;22,4;
2021-01-21;32,2;26,8;22,5;
2021-01-22;,4;31,7;22,8;
2021-01-23;0;31,6;23,6;
2021-01-24;0;30,8;24,5;
2021-01-25;0;31;24,9;
2021-01-26;9,2;30,7;23,7;
2021-01-27;29,4;30,7;23;
2021-01-28;45,6;28,7;22,6;
2021-01-29;4,2;28,9;23,1;
2021-01-30;8;28,6;23;
2021-01-31;5,6;32,4;23,6;
2021-02-01;0;31,9;24,6;
2021-02-02;0;29,8;25;
2021-02-03;7,4;29,7;23,8;
2021-02-04;0;33,3;25,1;
2021-02-05;0;33,8;24,7;
2021-02-06;0;30,8;25,7;
2021-02-07;5,8;30,5;23,5;
2021-02-08;,4;30,2;23,2;
2021-02-09;2,6;30,3;24,1;
2021-02-10;12,8;32,3;23,1;
2021-02-11;,2;32,6;25,1;
2021-02-12;15,8;29,4;24,1;
2021-02-13;,2;30,5;24,3;
2021-02-14;53,8;25,4;23,2;
2021-02-15;49,6;28,9;22,5;
2021-02-16;9,6;32;23,1;
2021-02-17;0;33,6;24,1;
2021-02-18;8,4;33,3;24,5;
2021-02-19;0;33,9;25,2;
2021-02-20;43,8;28,3;21,8;
2021-02-21;13,6;31,6;22,3;
2021-02-22;,2;32,3;24,7;
2021-02-23;0;30,9;25,1;
2021-02-24;0;32,2;25,2;
2021-02-25;28;27,8;21,9;
2021-02-26;null;27,2;23,8;
2021-02-27;1,2;30,5;23,5;
2021-02-28;15,8;28,4;23,6;
2021-03-01;29,8;29,3;23,1;
2021-03-02;null;31,7;22,4;
2021-03-03;32,8;29,8;22,8;
2021-03-04;null;29,3;23;
2021-03-05;,4;31,2;23,9;
2021-03-06;0;28,5;23,9;
2021-03-07;16,8;32,1;23,1;
2021-03-08;1;28,6;24,9;
2021-03-09;14;28,4;23,4;
2021-03-10;4;31,2;22,6;
2021-03-11;58;27,6;22,8;
2021-03-12;null;30,8;23,3;
2021-03-13;12;30,3;23,5;
2021-03-14;8,6;31,4;23,4;
2021-03-15;,8;31,8;24,7;
2021-03-16;0;32;24,4;
