Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2021-01-01;3;30,4;19,3;
2021-01-02;13,4;30,5;18,6;
2021-01-03;0;32,5;18,2;
2021-01-04;,2;32;17,1;
2021-01-05;0;32;19,8;
2021-01-06;0;32,5;19,9;
2021-01-07;0;32,8;21,7;
2021-01-08;22,8;31,7;19,8;
2021-01-09;2,8;33,3;21;
2021-01-10;0;33,2;21,9;
2021-01-11;26;30,6;20;
2021-01-12;8,4;31,2;20,6;
2021-01-13;34,2;32,9;20,8;
2021-01-14;4,6;25,4;20,3;
2021-01-15;26,6;31;20,6;
2021-01-16;8,6;30,3;20,7;
2021-01-17;2,8;27,2;21,2;
2021-01-18;10;31,6;19,6;
2021-01-19;23,8;32,9;21,6;
2021-01-20;,4;33,4;20,6;
2021-01-21;0;33,1;20;
2021-01-22;0;33,5;16,9;
2021-01-23;,2;33,2;17,6;
2021-01-24;0;32,3;19,2;
2021-01-25;0;33,3;19,9;
2021-01-26;0;34,2;18,7;
2021-01-27;23,2;32,4;19,6;
2021-01-28;0;32,7;20;
2021-01-29;0;33,1;20;
2021-01-30;,2;35,1;19;
2021-01-31;0;35,5;21;
2021-02-01;0;31,6;19,6;
2021-02-02;,4;34;19,8;
2021-02-03;,4;33,7;21;
2021-02-04;0;34;21,1;
2021-02-05;0;31,2;22,6;
2021-02-06;12,2;30,6;20,6;
2021-02-07;,2;32;17,8;
2021-02-08;,2;31,1;17,4;
2021-02-09;0;31,8;15,6;
2021-02-10;0;33,4;17,9;
2021-02-11;0;28,6;18,1;
2021-02-12;4,8;27,5;19;
2021-02-13;15;29,7;19,9;
2021-02-14;0;31,8;18,9;
2021-02-15;2;30,7;18,9;
2021-02-16;0;32,7;19,6;
2021-02-17;0;30,3;20,5;
2021-02-18;0;33,6;19,3;
2021-02-19;2;33,8;18,2;
2021-02-20;0;35,4;15,8;
2021-02-21;0;34,5;18,1;
2021-02-22;0;34,4;19;
2021-02-23;,4;35,1;18,1;
2021-02-24;0;36,3;19,3;
2021-02-25;7,8;32;20,1;
2021-02-26;20,4;29,2;19;
2021-02-27;2,2;29,6;19;
2021-02-28;6,4;29,4;19,5;
2021-03-01;21,8;31,1;18,8;
2021-03-02;0;32,2;20,5;
2021-03-03;,2;32,5;20,7;
2021-03-04;,2;30,4;19,2;
2021-03-05;,4;30;20,7;
2021-03-06;4,4;29,3;20,3;
2021-03-07;0;29,2;20,6;
2021-03-08;6,2;30,5;17,4;
2021-03-09;0;32,3;18,9;
2021-03-10;,2;32,8;16,4;
2021-03-11;0;33,3;18,8;
2021-03-12;0;34,5;19;
2021-03-13;0;33,4;16;
2021-03-14;0;33,3;18,1;
2021-03-15;,6;32,7;17,7;
2021-03-16;,4;34,7;17,9;
2021-03-17;0;33,5;19,4;
2021-03-18;0;31,4;20,8;
2021-03-19;0;35,5;18,4;
2021-03-20;1,2;34,3;19,8;
2021-03-21;0;33,6;18;
2021-03-22;,2;34,3;16,5;
2021-03-23;0;35,6;18,2;
2021-03-24;0;35,9;19,1;
2021-03-25;0;35,4;19;
2021-03-26;0;36;19,8;
2021-03-27;0;37;19,7;
2021-03-28;0;36,1;18,6;
2021-03-29;1,2;35,2;19;
2021-03-30;,8;36,4;18,8;
2021-03-31;0;33,6;17,4;
2021-04-01;,2;31,5;16,5;
2021-04-02;0;33,1;14,6;
2021-04-03;0;34,3;14,4;
2021-04-04;0;34,2;17,1;
2021-04-05;0;34,5;18,2;
2021-04-06;,6;25,2;19,9;
2021-04-07;21,6;30,7;17,5;
2021-04-08;0;31,3;17,2;
2021-04-09;0;31,1;14,7;
2021-04-10;0;31,2;13,8;
2021-04-11;0;31,9;12,9;
2021-04-12;0;33;12,5;
2021-04-13;0;33;13,9;
2021-04-14;0;32,9;16,5;
2021-04-15;0;33,5;16,1;
2021-04-16;9,8;32,1;17,1;
2021-04-17;13,4;29,4;18,6;
2021-04-18;12,6;29,3;18,5;
2021-04-19;3,2;29,5;16,2;
2021-04-20;0;29,5;15,4;
2021-04-21;0;30,1;13,5;
2021-04-22;0;30;13,6;
2021-04-23;0;30,2;12,7;
2021-04-24;0;31,5;11,3;
2021-04-25;0;32,3;13,5;
2021-04-26;0;31,9;16,2;
2021-04-27;1,2;31,8;16,7;
2021-04-28;0;32,1;12,2;
2021-04-29;0;29,2;13,9;
2021-04-30;0;30,8;13,8;
2021-05-01;0;28,3;15,8;
2021-05-02;0;30,3;13,4;
2021-05-03;0;30,5;10,9;
2021-05-04;0;31,9;12,1;
2021-05-05;0;32,5;12,9;
2021-05-06;0;32,6;13,5;
2021-05-07;0;29,5;15,7;
2021-05-08;0;31,1;13,3;
2021-05-09;0;31,7;14,1;
2021-05-10;0;31,4;14,6;
2021-05-11;0;31,3;13,9;
2021-05-12;0;31,1;13,3;
2021-05-13;0;30;15,2;
2021-05-14;0;29;13,6;
2021-05-15;0;30,9;14,7;
2021-05-16;0;31,9;14,1;
2021-05-17;0;30,8;12,6;
2021-05-18;0;30,6;11,7;
2021-05-19;0;30,5;11,5;
2021-05-20;0;31,5;10,4;
2021-05-21;0;32,6;12,5;
2021-05-22;0;29,7;13,5;
2021-05-23;3,6;24,5;15,1;
2021-05-24;1;24,8;12,2;
2021-05-25;0;29;8,3;
2021-05-26;0;32,5;12,9;
2021-05-27;0;32,7;13,3;
2021-05-28;0;33,8;14;
2021-05-29;,2;33,3;18;
2021-05-30;0;32,3;16,1;
2021-05-31;0;29,4;16,6;
2021-06-01;0;30,2;14,8;
2021-06-02;0;32,1;12,1;
2021-06-03;0;33,5;13,2;
2021-06-04;0;32,9;13,2;
2021-06-05;0;31,6;12,6;
2021-06-06;0;31,9;13,3;
2021-06-07;0;32,3;13,4;
2021-06-08;0;30,8;14,3;
2021-06-09;0;31,2;17,1;
2021-06-10;0;29,5;17,1;
2021-06-11;7,4;25,5;15,5;
2021-06-12;0;27,1;13,6;
2021-06-13;0;27,9;10;
2021-06-14;0;30,2;11;
2021-06-15;0;30,1;13,6;
2021-06-16;0;29,1;10;
2021-06-17;0;28,5;9,6;
2021-06-18;0;29,6;11,1;
2021-06-19;0;32,1;12,4;
2021-06-20;0;29;15,8;
2021-06-21;0;30,1;12,8;
2021-06-22;0;31,5;13;
2021-06-23;0;30,4;15,4;
2021-06-24;0;31,9;10,9;
2021-06-25;0;33,4;13,6;
2021-06-26;0;32,5;13,2;
2021-06-27;0;30,4;12,9;
2021-06-28;0;30,3;9,4;
2021-06-29;0;19,6;10,7;
2021-06-30;0;21;2,1;
2021-07-01;null;27,5;1,6;
2021-07-02;null;29,9;9;
2021-07-03;null;29,8;9;
2021-07-04;null;28,7;9,2;
2021-07-05;null;28,2;9,5;
2021-07-06;null;27,8;9,4;
2021-07-07;null;28,6;9,6;
2021-07-08;null;28,1;8,2;
2021-07-09;null;29,5;7,5;
2021-07-10;null;29,2;9,4;
2021-07-11;null;29,8;8,7;
2021-07-12;null;29,7;9,5;
2021-07-13;null;29,5;9,4;
2021-07-14;null;30,3;9;
2021-07-15;null;31,1;9,5;
2021-07-16;null;32;11,1;
2021-07-17;null;31,9;13,7;
2021-07-18;null;26,9;16,8;
2021-07-19;null;22,1;4,7;
2021-07-20;null;25,9;,6;
2021-07-21;null;31,5;8,5;
2021-07-22;null;32;11;
2021-07-23;null;30;10,5;
2021-07-24;null;29;8,9;
2021-07-25;null;29,9;8,1;
2021-07-26;null;31,7;9,5;
2021-07-27;null;32,4;11,1;
2021-07-28;null;23,6;16,1;
2021-07-29;null;18,6;2,3;
2021-07-30;null;23,4;2,1;
2021-07-31;null;28,4;7,2;
2021-08-01;null;28,8;11,1;
2021-08-02;null;29,6;12,1;
2021-08-03;null;28,3;12,2;
2021-08-04;null;27,9;9,6;
2021-08-05;null;29;12,8;
2021-08-06;null;28;13,2;
2021-08-07;null;29,8;12,5;
2021-08-08;null;29,5;13,9;
2021-08-09;null;30,6;13,3;
2021-08-10;null;32;12,9;
2021-08-11;null;33,7;13,4;
2021-08-12;null;null;null;
2021-08-13;null;null;null;
2021-08-14;null;33,3;14;
2021-08-15;null;33,7;15,6;
2021-08-16;null;null;null;
2021-08-17;null;null;null;
2021-08-18;null;null;16,3;
2021-08-19;null;null;null;
2021-08-20;null;null;null;
2021-08-21;null;null;null;
2021-08-22;null;null;null;
2021-08-23;null;null;null;
2021-08-24;null;null;null;
2021-08-25;null;null;null;
2021-08-26;null;null;null;
2021-08-27;null;null;null;
2021-08-28;null;null;null;
2021-08-29;null;null;null;
2021-08-30;null;null;null;
2021-08-31;null;null;null;
2021-09-01;null;null;null;
2021-09-02;null;null;null;
2021-09-03;null;null;null;
2021-09-04;null;null;null;
2021-09-05;null;null;null;
2021-09-06;null;null;null;
2021-09-07;null;null;null;
2021-09-08;null;null;null;
2021-09-09;null;null;null;
2021-09-10;null;null;null;
2021-09-11;null;null;null;
2021-09-12;null;null;null;
2021-09-13;null;null;null;
2021-09-14;null;null;null;
2021-09-15;null;null;null;
2021-09-16;null;null;null;
2021-09-17;null;null;null;
2021-09-18;null;null;null;
2021-09-19;null;null;null;
2021-09-20;null;null;null;
2021-09-21;null;null;null;
2021-09-22;null;null;null;
2021-09-23;null;null;null;
2021-09-24;null;null;null;
2021-09-25;null;null;null;
2021-09-26;null;null;null;
2021-09-27;null;null;null;
2021-09-28;null;null;null;
2021-09-29;null;null;null;
2021-09-30;null;null;null;
2021-10-01;null;null;null;
2021-10-02;null;null;null;
2021-10-03;null;null;null;
2021-10-04;null;null;null;
2021-10-05;null;null;null;
2021-10-06;null;null;null;
2021-10-07;null;null;null;
2021-10-08;null;null;null;
2021-10-09;null;null;null;
2021-10-10;null;null;null;
2021-10-11;null;null;null;
2021-10-12;null;null;null;
2021-10-13;null;null;null;
2021-10-14;null;null;null;
2021-10-15;null;null;null;
2021-10-16;null;null;null;
2021-10-17;null;null;null;
2021-10-18;null;null;null;
2021-10-19;null;null;null;
2021-10-20;null;null;null;
2021-10-21;null;null;null;
2021-10-22;null;null;null;
2021-10-23;null;null;null;
2021-10-24;null;null;null;
2021-10-25;null;null;null;
2021-10-26;null;null;null;
2021-10-27;null;null;null;
2021-10-28;null;null;null;
2021-10-29;null;null;null;
2021-10-30;null;null;null;
2021-10-31;null;null;null;
2021-11-01;null;null;null;
2021-11-02;null;null;null;
2021-11-03;null;null;null;
2021-11-04;2;35;17,8;
2021-11-05;null;36,2;17,3;
2021-11-06;0;36,1;20,1;
2021-11-07;0;36,5;22,2;
2021-11-08;0;36,1;19,6;
2021-11-09;0;34,1;20,5;
2021-11-10;0;33,7;20;
2021-11-11;30;28;19,4;
2021-11-12;10,2;28;17,8;
2021-11-13;0;29,8;13,7;
2021-11-14;0;32;14,9;
2021-11-15;0;31,8;16,5;
2021-11-16;0;32,5;16,7;
