Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2021-01-01;null;null;20,4;
2021-01-02;null;null;null;
2021-01-03;null;null;null;
2021-01-04;null;null;null;
2021-01-05;null;25,9;20,1;
2021-01-06;6,8;27,6;19,6;
2021-01-07;,2;27;20,5;
2021-01-08;18;29,7;18,9;
2021-01-09;,2;30,4;19,8;
2021-01-10;53,4;30,7;19,1;
2021-01-11;0;32,2;22,5;
2021-01-12;0;30,5;22,4;
2021-01-13;0;29,3;21,2;
2021-01-14;0;28,5;20,2;
2021-01-15;0;31;20,2;
2021-01-16;0;27,3;21,8;
2021-01-17;32,2;25,9;20,6;
2021-01-18;10,6;24,9;19,2;
2021-01-19;,2;24,4;17,8;
2021-01-20;3,8;26,3;18,6;
2021-01-21;,2;23,5;19,8;
2021-01-22;5,2;20,7;18,7;
2021-01-23;12,6;28,5;17,7;
2021-01-24;5;27,4;19;
2021-01-25;,8;24,4;19;
2021-01-26;1,2;26,7;19,6;
2021-01-27;1,4;26,9;21,3;
2021-01-28;9,2;26,8;20,4;
2021-01-29;14,6;25,8;19,9;
2021-01-30;8,2;28,7;18,8;
2021-01-31;24;25;17,6;
2021-02-01;2,2;26,8;19,1;
2021-02-02;,2;28;19;
2021-02-03;0;29;22,1;
2021-02-04;5,4;24,1;19,2;
2021-02-05;1,8;24;13,9;
2021-02-06;0;24,9;13,9;
2021-02-07;0;28,2;15,1;
2021-02-08;0;29;16,8;
2021-02-09;0;28,3;17,5;
2021-02-10;,2;27,3;15,9;
2021-02-11;2,8;25,8;17,9;
2021-02-12;11,8;26,3;17;
2021-02-13;37;27,6;15,7;
2021-02-14;,2;28;19;
2021-02-15;7;25,3;16,9;
2021-02-16;0;26,3;16,2;
2021-02-17;7;25,8;15,3;
2021-02-18;0;25,1;13,9;
2021-02-19;0;26,2;14,7;
2021-02-20;0;29;17,6;
2021-02-21;0;31,4;19;
2021-02-22;0;31,4;20;
2021-02-23;0;31,4;21,1;
2021-02-24;1,2;28,9;19,5;
2021-02-25;0;28,7;19,2;
2021-02-26;0;29,3;18,2;
2021-02-27;0;28,1;18,1;
2021-02-28;0;27,9;16,9;
2021-03-01;0;28,8;18,8;
2021-03-02;0;27,6;19,6;
2021-03-03;2;27,6;20,5;
2021-03-04;38;23;18,9;
2021-03-05;18;25,5;17,2;
2021-03-06;,6;25,8;16,3;
2021-03-07;0;27,7;16,7;
2021-03-08;0;27,3;16,9;
2021-03-09;0;26,9;15;
2021-03-10;0;25,2;15,4;
2021-03-11;0;27,5;15,3;
2021-03-12;0;28,4;15,7;
2021-03-13;0;30,9;16,5;
2021-03-14;0;30,7;18,4;
2021-03-15;0;31,4;19,2;
2021-03-16;0;33,1;20,5;
2021-03-17;9,8;28,1;19;
2021-03-18;,2;27;17,5;
2021-03-19;0;30,6;16,3;
2021-03-20;0;30,9;19,8;
2021-03-21;0;26,6;21,1;
2021-03-22;0;31,8;20;
2021-03-23;0;29,8;20,9;
2021-03-24;0;31,4;19;
2021-03-25;0;33,1;18,8;
2021-03-26;,2;27,5;19,3;
2021-03-27;6,4;25,5;18,9;
2021-03-28;11,2;25;18,8;
2021-03-29;7,6;21,5;16,9;
2021-03-30;3,8;20,6;13,5;
2021-03-31;0;22,9;13,6;
2021-04-01;0;23,4;12,4;
2021-04-02;0;27,4;13,7;
2021-04-03;0;27,9;15,7;
2021-04-04;0;28,5;15;
2021-04-05;0;27,3;16,3;
2021-04-06;0;26,9;17;
2021-04-07;0;28,8;16,4;
2021-04-08;0;30;16,3;
2021-04-09;0;30,5;18,2;
2021-04-10;0;30,7;19,9;
2021-04-11;0;32,1;19,7;
2021-04-12;2,2;23,8;15,5;
2021-04-13;,2;27,6;13,5;
2021-04-14;0;23,9;16,5;
2021-04-15;0;26,5;16,1;
2021-04-16;15,8;20,4;15,5;
2021-04-17;3,4;23,6;16,8;
2021-04-18;0;25;15,4;
2021-04-19;0;25,5;15;
2021-04-20;0;25,7;14,5;
2021-04-21;0;25,7;14,7;
2021-04-22;0;26,1;14,1;
2021-04-23;0;27;14,3;
2021-04-24;0;21,2;14,5;
