prov,abr,status,capital,area,Pop_1980,Pop_1991,Pop_2001,Pop_2010,Pop_2011,Pop_2017
Buenos Aires,BA,Prov,La Plata,307571,10865408,12594974,13827203,15625084,15909600,17020000
Catamarca,CAT,Prov,Catamarca,102602,207717,264234,334568,367828,3815,4044
Chaco,CHA,Prov,Resistencia,99633,701392,839677,984446,1055259,1092600,1168200
Chubut,CHU,Prov,Rawson,224686,263116,357189,413237,509108,5242,588
Ciudad de Buenos Aires,DF,Dist,Buenos Aires,203,2922829,2965403,2776138,2890151,3033600,3063700
Córdoba,CDB,Prov,Córdoba,165321,2407754,2766683,3066801,3308876,3411800,3645300
Corrientes,COR,Prov,Corrientes,88199,661454,795594,930991,992595,1028200,1090900
Entre Ríos,ERI,Prov,Paraná,78781,908313,1020257,1158147,1235994,1268700,1347500
Formosa,FOR,Prov,Formosa,72066,295887,398413,486559,530162,5572,5899
Jujuy,JUJ,Prov,San Salvador de Jujuy,53219,410008,512329,611888,673307,6924,7453
La Pampa,LPA,Prov,Santa Rosa de Toay,14344,20826,259996,299294,318951,3303,3493
La Rioja,LRI,Prov,La Rioja,8968,164217,220729,289983,333642,3475,378
Mendoza,MEN,Prov,Mendoza,148827,1196228,1412481,1579651,1738929,1797200,1928300
Misiones,MIS,Prov,Posadas,29801,588977,788915,965522,1101593,1128800,1218800
Neuquén,NEU,Prov,Neuquén,94078,24385,388833,474155,551266,5817,6379
Río Negro,RNE,Prov,Viedma,203013,383354,506772,552822,638645,6585,7186
Salta,SAL,Prov,Salta,155488,66287,866153,1079051,1214441,1258100,1370300
San Juan,SJU,Prov,San Juan,89651,465976,528715,620023,681055,7047,756
San Luis,SLU,Prov,San Luis,76748,214416,286458,367933,43231,4504,4892
Santa Cruz,SCR,Prov,Río Gallegos,243943,114941,159839,196958,273964,2844,3385
Santa Fe,SFE,Prov,Santa Fe,133007,2465546,2798422,3000701,3194537,3285400,3453700
Santiago del Estero,SDE,Prov,Santiago del Estero,136351,59492,671988,804457,874006,8888,9482
Tierra del Fuego,TDF,Prov,Ushuaia,21571,27358,69369,101079,127205,1357,1607
Tucumán,TUC,Prov,San Miguel de Tucumán,22524,972655,1142105,1338523,1448188,1509900,1634000
