"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Área plantada (Hectares)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"24";"Rio Grande do Norte";"109131";"109131";"-";"124587";"124587";"-";"63084";"63084";"-";"86065";"86065";"-";"81918";"81918";"-";"89886";"89886";"-";"90735";"90735";"-";"30847";"30847";"-";"73777";"73579";"198";"23205";"22006";"1199";"42761";"42694";"67";"47897";"47897";"-";"42915";"42915";"-";"36866";"36866";"-";"35404";"35404";"-";"44783";"44783";"-";"59896";"59702";"194";"58887";"58887";"-"
"2401";"  Oeste Potiguar";"54065";"54065";"-";"56505";"56505";"-";"32747";"32747";"-";"49042";"49042";"-";"49222";"49222";"-";"50169";"50169";"-";"48906";"48906";"-";"11366";"11366";"-";"33870";"33800";"70";"14131";"13981";"150";"20970";"20970";"-";"24242";"24242";"-";"17282";"17282";"-";"15025";"15025";"-";"16195";"16195";"-";"19982";"19982";"-";"26997";"26817";"180";"28463";"28463";"-"
"24001";"    Mossoró";"14090";"14090";"-";"15104";"15104";"-";"5047";"5047";"-";"15830";"15830";"-";"19330";"19330";"-";"14830";"14830";"-";"15980";"15980";"-";"90";"90";"-";"8060";"8010";"50";"1519";"1369";"150";"5050";"5050";"-";"4740";"4740";"-";"5880";"5880";"-";"2940";"2940";"-";"1540";"1540";"-";"3420";"3420";"-";"6850";"6850";"-";"7430";"7430";"-"
"2401107";"      Areia Branca";"600";"600";"-";"600";"600";"-";"120";"120";"-";"200";"200";"-";"100";"100";"-";"100";"100";"-";"150";"150";"-";"...";"...";"...";"220";"220";"-";"25";"25";"-";"100";"100";"-";"250";"250";"-";"100";"100";"-";"120";"120";"-";"120";"120";"-";"60";"60";"-";"80";"80";"-";"90";"90";"-"
"2401453";"      Baraúna";"6200";"6200";"-";"6890";"6890";"-";"2250";"2250";"-";"8000";"8000";"-";"8000";"8000";"-";"6000";"6000";"-";"7000";"7000";"-";"30";"30";"-";"1230";"1200";"30";"650";"500";"150";"2400";"2400";"-";"2500";"2500";"-";"1400";"1400";"-";"1200";"1200";"-";"550";"550";"-";"700";"700";"-";"4000";"4000";"-";"4200";"4200";"-"
"2404408";"      Grossos";"860";"860";"-";"600";"600";"-";"552";"552";"-";"550";"550";"-";"550";"550";"-";"30";"30";"-";"30";"30";"-";"...";"...";"...";"230";"230";"-";"50";"50";"-";"120";"120";"-";"210";"210";"-";"660";"660";"-";"320";"320";"-";"320";"320";"-";"300";"300";"-";"300";"300";"-";"320";"320";"-"
"2408003";"      Mossoró";"5980";"5980";"-";"6180";"6180";"-";"1545";"1545";"-";"6500";"6500";"-";"10000";"10000";"-";"8000";"8000";"-";"8100";"8100";"-";"10";"10";"-";"6120";"6100";"20";"600";"600";"-";"1500";"1500";"-";"1500";"1500";"-";"3300";"3300";"-";"1000";"1000";"-";"...";"...";"...";"1800";"1800";"-";"1900";"1900";"-";"2200";"2200";"-"
"2413359";"      Serra do Mel";"150";"150";"-";"500";"500";"-";"300";"300";"-";"300";"300";"-";"200";"200";"-";"300";"300";"-";"300";"300";"-";"50";"50";"-";"60";"60";"-";"150";"150";"-";"750";"750";"-";"100";"100";"-";"300";"300";"-";"150";"150";"-";"400";"400";"-";"420";"420";"-";"420";"420";"-";"450";"450";"-"
"2411056";"      Tibau";"300";"300";"-";"334";"334";"-";"280";"280";"-";"280";"280";"-";"480";"480";"-";"400";"400";"-";"400";"400";"-";"...";"...";"...";"200";"200";"-";"44";"44";"-";"180";"180";"-";"180";"180";"-";"120";"120";"-";"150";"150";"-";"150";"150";"-";"140";"140";"-";"150";"150";"-";"170";"170";"-"
"24002";"    Chapada do Apodi";"8000";"8000";"-";"8151";"8151";"-";"5796";"5796";"-";"6630";"6630";"-";"6694";"6694";"-";"7380";"7380";"-";"7025";"7025";"-";"4";"4";"-";"6465";"6450";"15";"850";"850";"-";"2350";"2350";"-";"2780";"2780";"-";"1250";"1250";"-";"1430";"1430";"-";"1180";"1180";"-";"1385";"1385";"-";"3220";"3220";"-";"3720";"3720";"-"
