"Cód.";"Município";"Batata-doce (Kg/ha)";"Cana-de-açúcar(Kg/ha)";"Feijão (em grão)(Kg/ha)";"Mandioca(Kg/ha)";"Melancia(Kg/ha)";"Milho (em grão)(Kg/ha)"
"2400109";"Acari (RN)";"-";"-";257;"-";16000;500
"2400208";"Açu (RN)";12333;51000;450;10500;27324;400
"2400307";"Afonso Bezerra (RN)";"-";"-";421;9333;27480;500
"2400406";"Água Nova (RN)";"-";"-";300;"-";"-";556
"2400505";"Alexandria (RN)";"-";50000;417;"-";"-";550
"2400604";"Almino Afonso (RN)";10000;50000;556;"-";"-";667
"2400703";"Alto do Rodrigues (RN)";"-";"-";500;"-";25000;389
"2400802";"Angicos (RN)";"-";"-";354;"-";"-";400
"2400901";"Antônio Martins (RN)";"-";"-";450;"-";"-";625
"2401008";"Apodi (RN)";9800;"-";939;8560;28780;1545
"2401107";"Areia Branca (RN)";"-";"-";310;11500;"-";389
"2401206";"Arês (RN)";"-";59667;600;9500;"-";"-"
"2401305";"Augusto Severo (RN)";"-";"-";380;"-";25000;420
"2401404";"Baía Formosa (RN)";9500;53580;600;"-";"-";700
"2401453";"Baraúna (RN)";9000;"-";382;8000;25000;370
"2401503";"Barcelona (RN)";6000;"-";400;7000;"-";600
"2401602";"Bento Fernandes (RN)";6000;"-";500;1699;"-";520
"2401651";"Bodó (RN)";"-";"-";450;8668;"-";1200
"2401701";"Bom Jesus (RN)";6000;"-";450;12000;"-";650
"2401800";"Brejinho (RN)";"-";"-";500;12000;"-";"-"
"2401859";"Caiçara do Norte (RN)";"-";"-";336;"-";"-";582
"2401909";"Caiçara do Rio do Vento (RN)";"-";"-";500;8500;"-";600
"2402006";"Caicó (RN)";"-";"-";300;"-";"-";500
"2402105";"Campo Redondo (RN)";"-";"-";281;"-";"-";278
"2402204";"Canguaretama (RN)";9000;55803;600;9500;"-";800
"2402303";"Caraúbas (RN)";8333;"-";357;11567;23354;563
"2402402";"Carnaúba dos Dantas (RN)";"-";"-";600;"-";"-";300
"2402501";"Carnaubais (RN)";"-";"-";500;"-";22218;500
"2402600";"Ceará-Mirim (RN)";12000;80000;589;10000;"-";717
"2402709";"Cerro Corá (RN)";8000;"-";300;7000;4417;400
"2402808";"Coronel Ezequiel (RN)";"-";"-";800;8000;6000;1000
"2402907";"Coronel João Pessoa (RN)";"-";40000;472;7000;"-";850
"2403004";"Cruzeta (RN)";9000;"-";200;"-";23000;200
"2403103";"Currais Novos (RN)";"-";"-";350;"-";"-";350
"2403202";"Doutor Severiano (RN)";9000;43333;714;"-";"-";1522
"2403251";"Parnamirim (RN)";"-";"-";600;11000;"-";"-"
"2403301";"Encanto (RN)";"-";50000;471;"-";"-";533
"2403400";"Equador (RN)";"-";"-";600;"-";"-";504
"2403509";"Espírito Santo (RN)";9500;60000;567;"-";"-";700
"2403608";"Extremoz (RN)";11000;"-";500;"-";25000;517
